,RENT_ID,RENT_NM_x,USE_CNT,MOVE_METER,평균이동거리,RENT_NM_y,LAT,LONG
146,280,280. 양평동6차현대아파트 앞,52607,81870215.32,1556.26086490391,280. 양평동6차현대아파트 앞,37.53210068,126.8944397
147,281,281. 대림신동아아파트 앞,17144,51427141.42,2999.7166017265517,281. 대림신동아아파트 앞,37.49824142,126.89398193
148,282,282. 신한은행 대림동지점,12212,29818991.51,2441.7778832296103,282. 신한은행 대림동지점,37.48752975,126.90487671
149,283,283. 아크로타워 스퀘어(영등포시장),47417,95481300.22,2013.651226775207,283. 아크로타워 스퀘어(영등포시장),37.52251816,126.90721893
150,284,284. 센트럴 푸르지오 시티 앞,35928,65731604.59,1829.5369792362503,284. 센트럴 푸르지오 시티 앞,37.51821136,126.90222931
151,285,285. 콤텍시스템 앞,13705,28650913.26,2090.544564757388,285. 콤텍시스템 앞,37.49985886,126.89723969
152,286,286. 우성아파트 교차로,16191,38269789.42,2363.6458168118093,286. 우성아파트 교차로,37.49457169,126.89974976
153,287,287. 영등포전화국사거리 (서강어린이공원),37405,72197762.26,1930.1634075658335,287. 영등포전화국사거리 (서강어린이공원),37.52576828,126.90573883
154,288,288. 쌍용예가(구청별관),21563,40259318.95,1867.0555558131987,288. 쌍용예가(구청별관),37.52809906,126.89338684
155,289,289. 대림3동사거리,19402,36181682.1,1864.8429079476343,289. 대림3동사거리,37.49980927,126.89800262
156,290,290. 새말소공원,38823,60046435.08,1546.671691523066,290. 새말소공원,37.5315094,126.89782715
157,291,291. 문래동 하이테크 시티,41654,95593428.64,2294.939949104528,291. 문래동 하이테크 시티,37.51412964,126.89939117
158,292,292. 영일 어린이공원,23285,39797433.05,1709.1446446210005,292. 영일 어린이공원,37.51012039,126.90406799
159,293,293. 충북 미래관,53955,115368373.65,2138.233224909647,293. 충북 미래관,37.52917099,126.90757751
160,295,295.영등포공원 분수대 앞,5021,10854530.31,2161.8263911571403,295.영등포공원 분수대 앞,37.51481247,126.91170502
161,296,296.KT플라자 영등포점,40424,67863034.16,1678.7807777557884,296.KT플라자 영등포점,37.52630234,126.90538025
162,297,297.국회3문,3470,10226845.33,2947.217674351585,297.국회3문,37.52863693,126.91267395
163,298,298.KBS 연구동 건너편,13161,41122132.96,3124.544712407872,298.KBS 연구동 건너편,37.52750778,126.91429901
164,299,299.여의도 순복음교회,9604,52326050.48,5448.360108288213,299.여의도 순복음교회,37.53179169,126.92245483
165,300,300. 정동사거리,14436,27493968.56,1904.542017179274,300. 정동사거리,37.56805038,126.96923065
166,301,301. 경복궁역 7번출구 앞,19305,41441276.17,2146.6602522662524,301. 경복궁역 7번출구 앞,37.57579422,126.97145081
167,302,302. 경복궁역 6번출구 뒤,33907,72284171.15,2131.836232931253,302. 경복궁역 6번출구 뒤,37.57561493,126.97289276
168,303,303. 광화문역 1번출구 앞,39731,69720335.76,1754.8094878054922,303. 광화문역 1번출구 앞,37.57176971,126.97466278
169,305,305. 종로구청 옆,34604,78853358.72,2278.735369321466,305. 종로구청 옆,37.57255936,126.97833252
170,307,307. 서울역사박물관 앞,13458,28246504.56,2098.8634685688808,307. 서울역사박물관 앞,37.56999969,126.97109985
171,308,308. 광화문 S타워 앞,37488,62047132.13,1655.1198284784466,308. 광화문 S타워 앞,37.56996918,126.97393799
172,309,309. 광화문역 6번출구 옆 B,9982,22774075.33,2281.514258665598,309. 광화문역 6번출구 옆 B,37.56996155,126.97615814
173,310,310. 청계광장 옆,19366,50015125.78,2582.6255179180007,310. 청계광장 옆,37.56887817,126.9774704
174,314,314. 국립현대미술관,16676,34613230.43,2075.6314721755816,314. 국립현대미술관,37.5797081,126.98085785
175,316,316. 종각역 1번출구 앞,29092,58209538.65,2000.8778581740685,316. 종각역 1번출구 앞,37.57039642,126.98178864
176,318,318. 광교사거리 남측,16393,46096093.07,2811.9375995851888,318. 광교사거리 남측,37.56863403,126.98231506
